date,komoditas,price
2022-03-12,beras,11789.70588235294
2022-03-12,gula,14772.058823529413
2022-03-12,minyak,19327.272727272728
2022-03-12,telur,24992.647058823528
2022-03-13,beras,11789.70588235294
2022-03-13,gula,14772.058823529413
2022-03-13,minyak,19327.272727272728
2022-03-13,telur,24992.647058823528
2022-03-14,beras,11788.235294117647
2022-03-14,gula,14782.35294117647
2022-03-14,minyak,19298.529411764706
2022-03-14,telur,25082.352941176472
2022-03-15,beras,11791.176470588236
2022-03-15,gula,14783.823529411764
2022-03-15,minyak,19247.058823529413
2022-03-15,telur,25154.41176470588
2022-03-16,beras,11783.823529411764
2022-03-16,gula,14811.764705882353
2022-03-16,minyak,19219.117647058825
2022-03-16,telur,25163.235294117647
2022-03-17,beras,11767.741935483871
2022-03-17,gula,14838.709677419354
2022-03-17,minyak,19603.225806451614
2022-03-17,telur,24914.516129032258
2022-03-18,beras,11791.176470588236
2022-03-18,gula,14877.941176470587
2022-03-18,minyak,20582.352941176472
2022-03-18,telur,25151.470588235294
2022-03-21,beras,11788.235294117647
2022-03-21,gula,14941.176470588236
2022-03-21,minyak,22200.0
2022-03-21,telur,25192.647058823528
2022-03-22,beras,11786.764705882353
2022-03-22,gula,14977.941176470587
2022-03-22,minyak,22576.470588235294
2022-03-22,telur,25214.70588235294
2022-03-23,beras,11789.70588235294
2022-03-23,gula,14994.117647058823
2022-03-23,minyak,22975.0
2022-03-23,telur,25277.941176470587
2022-03-24,beras,11791.176470588236
2022-03-24,gula,15001.470588235294
2022-03-24,minyak,23180.882352941175
2022-03-24,telur,25292.647058823528
2022-03-25,beras,11794.117647058823
2022-03-25,gula,15017.64705882353
2022-03-25,minyak,23388.235294117647
2022-03-25,telur,25332.352941176472
2022-03-26,beras,11794.117647058823
2022-03-26,gula,15017.64705882353
2022-03-26,minyak,23388.235294117647
2022-03-26,telur,25332.352941176472
2022-03-27,beras,11794.117647058823
2022-03-27,gula,15017.64705882353
2022-03-27,minyak,23388.235294117647
2022-03-27,telur,25332.352941176472
2022-03-28,beras,11788.235294117647
2022-03-28,gula,15072.058823529413
2022-03-28,minyak,23504.41176470588
2022-03-28,telur,25422.058823529413
2022-03-29,beras,11789.70588235294
2022-03-29,gula,15076.470588235294
2022-03-29,minyak,23735.29411764706
2022-03-29,telur,25613.235294117647
2022-03-30,beras,11789.70588235294
2022-03-30,gula,15117.64705882353
2022-03-30,minyak,23801.470588235294
2022-03-30,telur,25641.176470588234
2022-03-31,beras,11788.235294117647
2022-03-31,gula,15107.35294117647
2022-03-31,minyak,23910.29411764706
2022-03-31,telur,25663.235294117647
2022-04-01,beras,11789.70588235294
2022-04-01,gula,15141.176470588236
2022-04-01,minyak,23948.529411764706
2022-04-01,telur,25697.058823529413
2022-04-02,beras,11789.70588235294
2022-04-02,gula,15141.176470588236
2022-04-02,minyak,23948.529411764706
2022-04-02,telur,25697.058823529413
2022-04-03,beras,11789.70588235294
2022-04-03,gula,15141.176470588236
2022-04-03,minyak,23948.529411764706
2022-04-03,telur,25697.058823529413
2022-04-04,beras,11808.823529411764
2022-04-04,gula,15167.64705882353
2022-04-04,minyak,23977.941176470587
2022-04-04,telur,25702.941176470587
2022-04-05,beras,11786.764705882353
2022-04-05,gula,15188.235294117647
2022-04-05,minyak,24110.29411764706
2022-04-05,telur,25711.764705882353
2022-04-06,beras,11783.823529411764
2022-04-06,gula,15194.117647058823
2022-04-06,minyak,24122.058823529413
2022-04-06,telur,25700.0
2022-04-07,beras,11785.29411764706
2022-04-07,gula,15201.470588235294
2022-04-07,minyak,24120.58823529412
2022-04-07,telur,25679.41176470588
2022-04-08,beras,11788.235294117647
2022-04-08,gula,15220.588235294117
2022-04-08,minyak,24167.647058823528
2022-04-08,telur,25670.58823529412
2022-04-09,beras,11788.235294117647
2022-04-09,gula,15220.588235294117
2022-04-09,minyak,24167.647058823528
2022-04-09,telur,25670.58823529412
2022-04-10,beras,11788.235294117647
2022-04-10,gula,15220.588235294117
2022-04-10,minyak,24167.647058823528
2022-04-10,telur,25670.58823529412
2022-04-11,beras,11782.35294117647
2022-04-11,gula,15238.235294117647
2022-04-11,minyak,24276.470588235294
2022-04-11,telur,25673.529411764706
2022-04-12,beras,11782.35294117647
2022-04-12,gula,15242.64705882353
2022-04-12,minyak,24269.117647058825
2022-04-12,telur,25679.41176470588
2022-04-13,beras,11780.882352941177
2022-04-13,gula,15266.176470588236
2022-04-13,minyak,24397.058823529413
2022-04-13,telur,25651.470588235294
2022-04-14,beras,11780.882352941177
2022-04-14,gula,15263.235294117647
2022-04-14,minyak,24494.117647058825
2022-04-14,telur,25702.941176470587
2022-04-15,beras,12625.0
2022-04-15,gula,14725.0
2022-04-15,minyak,24225.0
2022-04-15,telur,26725.0
2022-04-18,beras,11833.823529411764
2022-04-18,gula,15301.470588235294
2022-04-18,minyak,24479.41176470588
2022-04-18,telur,25747.058823529413
2022-04-19,beras,11776.470588235294
2022-04-19,gula,15317.64705882353
2022-04-19,minyak,24544.117647058825
2022-04-19,telur,25819.117647058825
2022-04-20,beras,11777.941176470587
2022-04-20,gula,15316.176470588236
2022-04-20,minyak,24586.764705882353
2022-04-20,telur,26027.941176470587
2022-04-21,beras,11776.470588235294
2022-04-21,gula,15313.235294117647
2022-04-21,minyak,24633.823529411766
2022-04-21,telur,26394.117647058825
2022-04-22,beras,11776.470588235294
2022-04-22,gula,15330.882352941177
2022-04-22,minyak,24626.470588235294
2022-04-22,telur,26663.235294117647
2022-04-25,beras,11773.529411764706
2022-04-25,gula,15330.882352941177
2022-04-25,minyak,24595.58823529412
2022-04-25,telur,27183.823529411766
2022-04-26,beras,11770.588235294117
2022-04-26,gula,15360.29411764706
2022-04-26,minyak,24586.764705882353
2022-04-26,telur,27313.235294117647
2022-04-27,beras,11827.941176470587
2022-04-27,gula,15357.35294117647
2022-04-27,minyak,24658.823529411766
2022-04-27,telur,27466.176470588234
2022-04-28,beras,11827.941176470587
2022-04-28,gula,15367.64705882353
2022-04-28,minyak,24620.58823529412
2022-04-28,telur,27672.058823529413
2022-04-29,beras,13600.0
2022-04-29,gula,15500.0
2022-04-29,minyak,25475.0
2022-04-29,telur,28925.0
2022-04-30,beras,13600.0
2022-04-30,gula,15500.0
2022-04-30,minyak,25475.0
2022-04-30,telur,28925.0
2022-05-01,beras,13600.0
2022-05-01,gula,15500.0
2022-05-01,minyak,25475.0
2022-05-01,telur,28925.0
2022-05-04,beras,13750.0
2022-05-04,gula,15150.0
2022-05-04,minyak,25700.0
2022-05-04,telur,32000.0
2022-05-05,beras,12350.0
2022-05-05,gula,16075.0
2022-05-05,minyak,22250.0
2022-05-05,telur,43000.0
2022-05-06,beras,12350.0
2022-05-06,gula,16075.0
2022-05-06,minyak,22250.0
2022-05-06,telur,43000.0
2022-05-07,beras,12350.0
2022-05-07,gula,16075.0
2022-05-07,minyak,22250.0
2022-05-07,telur,43000.0
2022-05-09,beras,11770.588235294117
2022-05-09,gula,15351.470588235294
2022-05-09,minyak,24522.058823529413
2022-05-09,telur,27551.470588235294
2022-05-10,beras,11763.235294117647
2022-05-10,gula,15363.235294117647
2022-05-10,minyak,24480.882352941175
2022-05-10,telur,27538.235294117647
2022-05-11,beras,11761.764705882353
2022-05-11,gula,15358.823529411764
2022-05-11,minyak,24475.0
2022-05-11,telur,27492.647058823528
2022-05-12,beras,11761.764705882353
2022-05-12,gula,15392.64705882353
2022-05-12,minyak,24432.352941176472
2022-05-12,telur,27355.882352941175
2022-05-13,beras,11758.823529411764
2022-05-13,gula,15391.176470588236
2022-05-13,minyak,24466.176470588234
2022-05-13,telur,27447.058823529413
2022-05-14,beras,11758.823529411764
2022-05-14,gula,15391.176470588236
2022-05-14,minyak,24466.176470588234
2022-05-14,telur,27447.058823529413
2022-05-16,beras,13750.0
2022-05-16,gula,15150.0
2022-05-16,minyak,22850.0
2022-05-16,telur,32000.0
2022-05-17,beras,11763.235294117647
2022-05-17,gula,15394.117647058823
2022-05-17,minyak,24438.235294117647
2022-05-17,telur,27520.58823529412
2022-05-18,beras,11761.764705882353
2022-05-18,gula,15400.0
2022-05-18,minyak,24376.470588235294
2022-05-18,telur,27558.823529411766
2022-05-19,beras,11761.764705882353
2022-05-19,gula,15391.176470588236
2022-05-19,minyak,24327.941176470587
2022-05-19,telur,27652.941176470587
2022-05-20,beras,11758.823529411764
2022-05-20,gula,15392.64705882353
2022-05-20,minyak,24260.29411764706
2022-05-20,telur,27726.470588235294
2022-05-21,beras,11758.823529411764
2022-05-21,gula,15392.64705882353
2022-05-21,minyak,24260.29411764706
2022-05-21,telur,27726.470588235294
2022-05-22,beras,11758.823529411764
2022-05-22,gula,15392.64705882353
2022-05-22,minyak,24260.29411764706
2022-05-22,telur,27726.470588235294
2022-05-23,beras,11758.823529411764
2022-05-23,gula,15385.29411764706
2022-05-23,minyak,24161.764705882353
2022-05-23,telur,28123.529411764706
2022-05-24,beras,11758.823529411764
2022-05-24,gula,15379.411764705883
2022-05-24,minyak,24130.882352941175
2022-05-24,telur,28238.235294117647
2022-05-25,beras,11761.764705882353
2022-05-25,gula,15392.64705882353
2022-05-25,minyak,24088.235294117647
2022-05-25,telur,28386.764705882353
2022-05-27,beras,11752.941176470587
2022-05-27,gula,15382.35294117647
2022-05-27,minyak,24023.529411764706
2022-05-27,telur,28527.941176470587
2022-05-28,beras,11752.941176470587
2022-05-28,gula,15382.35294117647
2022-05-28,minyak,24023.529411764706
2022-05-28,telur,28527.941176470587
2022-05-29,beras,11752.941176470587
2022-05-29,gula,15382.35294117647
2022-05-29,minyak,24023.529411764706
2022-05-29,telur,28527.941176470587
2022-05-30,beras,11754.411764705883
2022-05-30,gula,15355.882352941177
2022-05-30,minyak,23932.352941176472
2022-05-30,telur,28705.882352941175
2022-05-31,beras,11752.941176470587
2022-05-31,gula,15348.529411764706
2022-05-31,minyak,23864.70588235294
2022-05-31,telur,28650.0
2022-06-02,beras,11750.0
2022-06-02,gula,15335.29411764706
2022-06-02,minyak,23851.470588235294
2022-06-02,telur,28875.0
2022-06-03,beras,11750.0
2022-06-03,gula,15339.70588235294
2022-06-03,minyak,23885.29411764706
2022-06-03,telur,28925.0
2022-06-04,beras,11750.0
2022-06-04,gula,15339.70588235294
2022-06-04,minyak,23885.29411764706
2022-06-04,telur,28925.0
2022-06-05,beras,11750.0
2022-06-05,gula,15339.70588235294
2022-06-05,minyak,23885.29411764706
2022-06-05,telur,28925.0
2022-06-06,beras,11747.058823529413
2022-06-06,gula,15339.70588235294
2022-06-06,minyak,23855.882352941175
2022-06-06,telur,29126.470588235294
2022-06-07,beras,11741.176470588236
2022-06-07,gula,15338.235294117647
2022-06-07,minyak,23813.235294117647
2022-06-07,telur,29325.0
2022-06-08,beras,11745.588235294117
2022-06-08,gula,15329.411764705883
2022-06-08,minyak,23797.058823529413
2022-06-08,telur,29355.882352941175
2022-06-09,beras,11741.176470588236
2022-06-09,gula,15329.411764705883
2022-06-09,minyak,23835.29411764706
2022-06-09,telur,29416.176470588234
2022-06-10,beras,11745.588235294117
2022-06-10,gula,15351.470588235294
2022-06-10,minyak,23864.70588235294
2022-06-10,telur,29289.70588235294
2022-06-11,beras,11745.588235294117
2022-06-11,gula,15351.470588235294
2022-06-11,minyak,23864.70588235294
2022-06-11,telur,29289.70588235294
2022-06-12,beras,11745.588235294117
2022-06-12,gula,15351.470588235294
2022-06-12,minyak,23864.70588235294
2022-06-12,telur,29289.70588235294
2022-06-13,beras,11741.176470588236
2022-06-13,gula,15327.941176470587
2022-06-13,minyak,23691.176470588234
2022-06-13,telur,29266.176470588234
2022-06-14,beras,11742.64705882353
2022-06-14,gula,15329.411764705883
2022-06-14,minyak,23664.70588235294
2022-06-14,telur,29314.70588235294
2022-06-15,beras,11747.058823529413
2022-06-15,gula,15330.882352941177
2022-06-15,minyak,23580.882352941175
2022-06-15,telur,29373.529411764706
2022-06-16,beras,11744.117647058823
2022-06-16,gula,15336.764705882353
2022-06-16,minyak,23563.235294117647
2022-06-16,telur,29330.882352941175
2022-06-17,beras,11744.117647058823
2022-06-17,gula,15339.70588235294
2022-06-17,minyak,23579.41176470588
2022-06-17,telur,29467.647058823528
2022-06-18,beras,11744.117647058823
2022-06-18,gula,15339.70588235294
2022-06-18,minyak,23579.41176470588
2022-06-18,telur,29467.647058823528
2022-06-20,beras,11744.117647058823
2022-06-20,gula,15302.941176470587
2022-06-20,minyak,23570.58823529412
2022-06-20,telur,29364.70588235294
2022-06-21,beras,11739.70588235294
2022-06-21,gula,15288.235294117647
2022-06-21,minyak,23426.470588235294
2022-06-21,telur,29338.235294117647
2022-06-22,beras,11748.529411764706
2022-06-22,gula,15286.764705882353
2022-06-22,minyak,23325.0
2022-06-22,telur,29319.117647058825
2022-06-23,beras,11748.529411764706
2022-06-23,gula,15283.823529411764
2022-06-23,minyak,23305.882352941175
2022-06-23,telur,29275.0
2022-06-24,beras,11748.529411764706
2022-06-24,gula,15283.823529411764
2022-06-24,minyak,23300.0
