date,komoditas,price,year,month,day,lag_1,lag_7,rolling_mean_7
2022-05-19,beras,11761.764705882353,2022,5,19,11761.764705882353,11761.764705882353,12045.16806722689
2022-05-20,beras,11758.823529411764,2022,5,20,11761.764705882353,11761.764705882353,12044.747899159662
2022-05-21,beras,11758.823529411764,2022,5,21,11758.823529411764,11758.823529411764,12044.747899159662
2022-05-22,beras,11758.823529411764,2022,5,22,11758.823529411764,11758.823529411764,12044.747899159664
2022-05-23,beras,11758.823529411764,2022,5,23,11758.823529411764,13750.0,11760.29411764706
2022-05-24,beras,11758.823529411764,2022,5,24,11758.823529411764,11763.235294117647,11759.663865546217
2022-05-25,beras,11761.764705882353,2022,5,25,11758.823529411764,11761.764705882353,11759.663865546217
2022-05-27,beras,11752.941176470587,2022,5,27,11761.764705882353,11761.764705882353,11758.403361344537
2022-05-28,beras,11752.941176470587,2022,5,28,11752.941176470587,11758.823529411764,11757.563025210084
2022-05-29,beras,11752.941176470587,2022,5,29,11752.941176470587,11758.823529411764,11756.72268907563
2022-05-30,beras,11754.411764705883,2022,5,30,11752.941176470587,11758.823529411764,11756.092436974792
2022-05-31,beras,11752.941176470587,2022,5,31,11754.411764705883,11758.823529411764,11755.252100840336
2022-06-02,beras,11750.0,2022,6,2,11752.941176470587,11758.823529411764,11753.991596638656
2022-06-03,beras,11750.0,2022,6,3,11750.0,11761.764705882353,11752.310924369749
2022-06-04,beras,11750.0,2022,6,4,11750.0,11752.941176470587,11751.890756302522
2022-06-05,beras,11750.0,2022,6,5,11750.0,11752.941176470587,11751.470588235296
2022-06-06,beras,11747.058823529413,2022,6,6,11750.0,11752.941176470587,11750.630252100842
2022-06-07,beras,11741.176470588236,2022,6,7,11747.058823529413,11754.411764705883,11748.739495798318
2022-06-08,beras,11745.588235294117,2022,6,8,11741.176470588236,11752.941176470587,11747.689075630251
2022-06-09,beras,11741.176470588236,2022,6,9,11745.588235294117,11750.0,11746.42857142857
2022-06-10,beras,11745.588235294117,2022,6,10,11741.176470588236,11750.0,11745.79831932773
2022-06-11,beras,11745.588235294117,2022,6,11,11745.588235294117,11750.0,11745.168067226889
2022-06-12,beras,11745.588235294117,2022,6,12,11745.588235294117,11750.0,11744.53781512605
2022-06-13,beras,11741.176470588236,2022,6,13,11745.588235294117,11747.058823529413,11743.697478991597
2022-06-14,beras,11742.64705882353,2022,6,14,11741.176470588236,11741.176470588236,11743.90756302521
2022-06-15,beras,11747.058823529413,2022,6,15,11742.64705882353,11745.588235294117,11744.117647058823
2022-06-16,beras,11744.117647058823,2022,6,16,11747.058823529413,11741.176470588236,11744.53781512605
2022-06-17,beras,11744.117647058823,2022,6,17,11744.117647058823,11745.588235294117,11744.327731092437
2022-06-18,beras,11744.117647058823,2022,6,18,11744.117647058823,11745.588235294117,11744.117647058825
2022-06-20,beras,11744.117647058823,2022,6,20,11744.117647058823,11745.588235294117,11743.90756302521
2022-06-21,beras,11739.70588235294,2022,6,21,11744.117647058823,11741.176470588236,11743.697478991597
2022-06-22,beras,11748.529411764706,2022,6,22,11739.70588235294,11742.64705882353,11744.53781512605
2022-06-23,beras,11748.529411764706,2022,6,23,11748.529411764706,11747.058823529413,11744.747899159664
